pickup_day,total_trips
2023-06-01,122151
2023-06-02,117852
2023-06-03,116954
2023-06-04,99330
2023-06-05,102484
2023-06-06,120140
2023-06-07,122796
2023-06-08,118686
2023-06-09,114179
2023-06-10,111601
2023-06-11,96177
2023-06-12,106265
2023-06-13,116749
2023-06-14,121704
2023-06-15,126816
2023-06-16,110323
2023-06-17,105105
2023-06-18,91349
2023-06-20,107277
2023-06-21,115339
2023-06-22,120531
2023-06-23,113509
2023-06-24,108193
2023-06-25,93648
2023-06-26,99080
2023-06-27,108548
2023-06-28,105063
2023-06-29,104311
2023-06-30,94250
